timestamp,cpu_percent,memory_percent,num_processes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
2025-07-31T16:20:02.751093,36.4,20.9,47,1762335744,2853576704,64737385,116399789
2025-07-31T16:20:07.782774,7.2,20.2,44,1762335744,2853687296,64754205,116416609
2026-03-19T18:21:10.849399,33.3,35.3,61,929314816,608821248,57307414,134804089
2026-03-19T18:21:15.876344,4.8,35.4,61,929343488,609005568,57521170,134868467
2026-03-19T18:21:20.892228,37.9,36.3,61,929622016,609271808,58301191,135191616
2026-03-19T18:21:24.997068,30.3,36.6,58,929728512,609411072,58621551,135415399
2026-03-19T18:21:30.003578,3.1,36.1,58,929728512,609591296,58980355,135761828
2026-03-19T18:21:35.007023,4.0,36.2,60,929728512,609669120,59186896,135805783
2026-03-19T18:21:40.011915,5.3,35.8,58,929728512,609824768,62169514,138788251
2026-03-19T18:21:45.020897,6.4,35.2,58,929728512,609882112,62204741,138816453
2026-03-19T18:21:50.024398,8.1,36.7,62,929728512,610021376,62924193,139368245
2026-03-19T18:21:54.089607,3.8,36.8,59,929728512,610058240,63157164,139441886
2026-03-19T18:21:59.095925,5.8,36.9,58,929728512,610152448,63489155,139586820
2026-03-19T18:22:04.101886,15.1,37.8,62,929728512,610312192,63711170,139668914
2026-03-19T18:22:09.107360,11.0,36.6,61,929736704,610516992,64124210,139882811
2026-03-19T18:22:14.112720,11.3,36.3,58,929736704,610775040,64924815,140325538
2026-03-19T18:22:19.121866,21.7,36.0,61,929736704,611262464,65340464,140533121
2026-03-19T18:22:24.141262,16.0,36.3,61,929736704,611352576,65860004,140646129
2026-03-19T18:22:28.213556,15.4,36.5,61,929736704,611672064,66157211,140913003
2026-03-19T18:22:33.220984,9.1,36.6,58,929736704,611905536,66568371,141129237
2026-03-19T18:22:38.229024,2.6,36.6,59,929736704,612012032,66833183,141215933
2026-03-19T18:22:43.235026,11.4,36.6,58,929736704,612192256,67421944,141499175
2026-03-19T18:22:48.241294,8.4,36.7,58,929736704,612388864,67800672,141748571
2026-03-19T18:22:53.247327,12.4,36.9,63,929736704,612540416,68151600,142012572
2026-03-19T18:22:57.306950,9.9,37.0,58,929736704,612679680,68712070,142192761
2026-03-19T18:23:02.323539,14.4,37.3,61,929736704,612995072,69414927,142499413
2026-03-19T18:23:07.331960,31.9,35.9,58,929736704,613175296,69490003,142567259
2026-03-19T18:23:12.338288,5.9,36.1,58,929736704,613646336,70062414,142745999
2026-03-19T18:23:17.344383,4.3,35.5,58,929736704,613736448,70125955,142777573
2026-03-19T18:23:22.352387,12.8,34.4,63,929773568,613814272,70438888,142889334
2026-03-19T18:23:27.358401,8.2,34.3,63,929773568,613814272,70656301,142986728
2026-03-19T18:23:31.368727,17.6,35.7,60,929773568,613855232,70751253,143073929
2026-03-19T18:23:36.376833,2.7,35.6,60,929773568,613892096,70795517,143115520
2026-03-19T18:23:41.384650,4.0,34.6,62,929810432,613920768,70917828,143233826
2026-03-19T18:23:46.390696,2.8,34.6,62,929814528,614072320,70947347,143263345
2026-03-19T18:23:51.397822,6.9,35.6,60,929814528,614109184,70984511,143301068
2026-03-19T18:23:56.404831,6.2,35.8,60,929814528,614232064,71496773,143417467
2026-03-19T18:24:00.514558,7.3,36.3,63,929814528,614260736,72121359,143583982
2026-03-19T18:24:05.524203,23.0,36.1,60,929814528,614588416,72566748,143801843
2026-03-19T18:24:10.528583,12.7,36.7,62,929814528,614637568,73041498,143927147
2026-03-19T18:24:15.533680,9.4,36.4,64,929814528,614662144,73077934,143955588
2026-03-19T18:24:20.539024,1.8,36.5,61,929814528,614789120,73099816,143974797
2026-03-19T18:24:25.543853,2.1,34.9,61,929814528,614862848,73132736,144005516
2026-03-19T18:24:30.553120,8.8,36.3,61,929814528,614883328,73404387,144076043
2026-03-19T18:24:34.592371,2.3,36.4,61,929814528,615079936,73436392,144095770
2026-03-19T18:24:39.600406,8.7,35.2,60,929814528,615190528,73550252,144199248
2026-03-19T18:24:44.605884,9.2,35.6,62,929814528,615215104,74062806,144345255
2026-03-19T18:24:49.616407,13.9,36.8,63,929814528,615239680,74096973,144376731
2026-03-19T18:24:54.621837,3.3,36.9,65,929814528,615260160,74231485,144508552
2026-03-19T18:24:59.626418,3.0,35.4,63,929814528,615280640,74289837,144562176
2026-03-19T18:25:03.576167,18.7,36.2,66,929814528,615464960,74315321,144585830
2026-03-19T18:25:08.585660,7.2,36.7,67,929814528,615559168,74400079,144666792
2026-03-19T18:25:13.591010,5.6,36.8,67,929814528,615690240,74984554,145137924
2026-03-19T18:25:18.613594,2.0,36.8,63,929814528,615714816,75041853,145174694
2026-03-19T18:25:23.620944,2.6,36.8,63,929814528,615743488,75137199,145208471
2026-03-19T18:25:28.626206,1.3,35.2,63,929814528,615759872,75142431,145213703
2026-03-19T18:25:33.630081,0.9,35.2,63,929814528,615968768,75145939,145217121
2026-03-19T18:25:37.621897,5.2,33.2,63,929814528,616001536,75149238,145220510
2026-03-19T18:25:42.633810,2.1,33.3,63,929814528,616042496,75174678,145243575
2026-03-19T18:25:47.648346,1.4,33.2,63,929814528,616103936,75193076,145261973
2026-03-19T18:25:52.654298,1.6,33.3,63,929814528,616124416,75211884,145280781
2026-03-19T18:25:57.659627,1.4,33.3,63,929814528,616140800,75215354,145284251
2026-03-19T18:26:02.670089,8.3,34.1,66,929814528,616226816,75237136,145307965
2026-03-19T18:26:06.804061,3.3,33.3,63,929814528,616497152,75245829,145313984
2026-03-19T18:26:11.809183,2.6,33.2,63,929814528,616513536,75259384,145324865
2026-03-19T18:26:16.819042,1.1,33.2,63,929814528,616542208,75266127,145328934
2026-03-19T18:26:21.826406,1.3,33.3,63,929814528,616620032,75279167,145343078
2026-03-19T18:26:26.830764,1.4,33.3,63,929814528,616636416,75283872,145347783
2026-03-19T18:26:31.838693,1.2,33.3,63,929814528,616656896,75288276,145352187
2026-03-19T18:26:35.826680,1.5,33.3,63,929814528,616685568,75299051,145364009
2026-03-19T18:26:40.832200,2.9,33.3,63,929814528,616714240,75324714,145387327
2026-03-19T18:26:45.837392,9.5,33.5,65,929814528,616996864,81418280,151449858
2026-03-19T18:26:50.842257,1.6,33.6,63,929814528,617148416,81436505,151468083
2026-03-19T18:26:55.847607,1.4,33.6,63,929814528,617291776,81454785,151486363
2026-03-19T18:27:00.851496,1.8,33.6,63,929814528,617312256,81486923,151514743
2026-03-19T18:27:05.854987,12.6,33.5,63,929814528,617463808,81496525,151524868
2026-03-19T18:27:09.888019,1.4,33.5,63,929814528,617525248,81508176,151529827
2026-03-19T18:27:14.892353,1.8,33.5,63,929814528,617558016,81524668,151543722
2026-03-19T18:27:19.896262,1.5,33.6,63,929814528,617586688,81548342,151567396
2026-03-19T18:27:24.902348,1.6,33.5,63,929814528,617607168,81570451,151586084
2026-03-19T18:27:29.906186,1.7,33.5,64,929814528,617684992,81598263,151613462
2026-03-19T18:27:34.914439,2.2,33.6,63,929814528,617861120,81640453,151655380
2026-03-19T18:27:39.047663,2.2,33.6,63,929814528,617938944,81659710,151675435
2026-03-19T18:27:44.074545,1.9,33.5,63,929814528,617975808,81678971,151694696
2026-03-19T18:27:49.080750,9.3,35.1,63,929814528,618004480,82748768,152545226
2026-03-19T18:27:54.087165,15.4,35.5,67,929814528,619196416,83099803,152673720
2026-03-19T18:27:59.091947,5.6,35.6,67,929945600,620433408,83421561,152763040
2026-03-19T18:28:04.095725,13.8,36.4,72,930220032,622247936,83495394,152807236
2026-03-19T18:28:09.100612,6.6,35.7,69,930551808,622469120,84149095,152946437
2026-03-19T18:28:13.141265,8.1,36.0,67,931346432,623214592,84512224,153130716
2026-03-19T18:28:18.155183,1.7,36.0,64,931346432,623345664,84546365,153148640
2026-03-19T18:28:23.164596,2.8,35.5,64,931346432,623378432,84687778,153171693
2026-03-19T18:28:28.172479,1.5,34.5,64,931346432,623419392,84697745,153181660
2026-03-19T18:28:33.175840,1.3,34.5,64,931346432,623448064,84707598,153191513
2026-03-19T18:28:38.182592,1.5,34.6,64,931346432,623484928,84718120,153202035
2026-03-19T18:28:42.128861,1.9,34.6,64,931346432,623521792,84728380,153212295
2026-03-19T18:28:47.143487,1.6,34.6,64,931346432,623644672,84738919,153222834
2026-03-19T18:28:52.160348,2.0,34.6,64,931346432,623685632,84752862,153238895
2026-03-19T18:28:57.169272,1.6,34.5,64,931346432,623722496,84762714,153248747
2026-03-19T18:29:02.174852,5.7,35.3,67,931346432,623783936,84775472,153259467
2026-03-19T18:29:07.183850,5.6,34.6,64,931346432,624066560,84789354,153273561
2026-03-19T18:29:12.187647,1.5,34.6,65,931346432,624287744,84800020,153284227
2026-03-19T18:29:16.043761,1.7,34.6,64,931346432,624422912,84816609,153301896
2026-03-19T18:29:21.051773,1.3,34.6,64,931346432,624492544,84820285,153306370
2026-03-19T18:29:26.058398,1.0,34.6,64,931346432,624517120,84827948,153310027
2026-03-19T18:29:31.062480,1.2,34.6,64,931346432,624558080,84837100,153313772
2026-03-19T18:29:36.066164,1.1,34.6,64,931346432,624574464,84844073,153318074
2026-03-19T18:29:41.073576,1.1,34.6,64,931346432,624594944,84862279,153330278
2026-03-19T18:29:45.193540,1.2,34.5,64,931346432,624619520,84868704,153334051
2026-03-19T18:29:50.204623,0.9,34.5,64,931346432,624717824,84872051,153337398
2026-03-19T18:29:55.212756,0.9,34.6,64,931346432,624742400,84875398,153340745
2026-03-19T18:30:00.219056,1.2,34.6,64,931346432,624766976,84885703,153352565
2026-03-19T18:30:05.223568,8.8,34.5,64,931346432,624996352,84892427,153359289
2026-03-19T18:30:10.236988,1.2,34.5,64,931346432,625053696,84895917,153362779
2026-03-19T18:30:15.247681,1.3,34.5,64,931346432,625082368,84899504,153366453
2026-03-19T18:30:19.281802,1.1,34.5,64,931346432,625111040,84902812,153369761
2026-03-19T18:30:24.290561,0.9,34.5,64,931346432,625135616,84906159,153373108
2026-03-19T18:30:29.297487,1.1,34.5,64,931346432,625152000,84909506,153376455
2026-03-19T18:30:34.300880,1.1,34.5,64,931346432,625172480,84913574,153380523
2026-03-19T18:30:39.307866,1.2,34.5,64,931346432,625352704,84916869,153383818
2026-03-19T18:30:44.323253,1.2,34.4,64,931346432,625377280,84920339,153387288
2026-03-19T18:30:48.323066,1.3,34.4,64,931346432,625410048,84930560,153399617
2026-03-19T18:30:53.328691,1.3,34.4,64,931346432,625438720,84934020,153403077
